Date,Open,High,Low,Close,P_Open,Error,Pred Dir,Act Dir,Correct
2017-08-11,3413.03,3705,3390.67,3645.06,,,,,
2017-08-12,3645.06,3934,3586.95,3855.1,,,,,
2017-08-13,3855.1,4190,3841.71,4053.87,,,,,
2017-08-14,4053.87,4329.43,3964.96,4306.23,,,,,
2017-08-15,4306.23,4400,3800,4155.67,,,,,
2017-08-16,4155.67,4379.78,3926.06,4378.84,,,,,
2017-08-17,4378.84,4480,4167.21,4276.5,,,,,
2017-08-18,4276.5,4368,3964.96,4100,,,,,
2017-08-19,4100,4188,3900,4099.55,,,,,
2017-08-20,4099.55,4125.95,4000,4058.68,,,,,
2017-08-21,4058.68,4080,3949.78,3987.52,,,,,
2017-08-22,3987.52,4139.31,3600,4085,,,,,
2017-08-23,4085,4248.97,4051.94,4108.12,,,,,
2017-08-24,4108.12,4350,4082.57,4300.34,,,,,
2017-08-25,4300.34,4449.98,4270,4355.98,,,,,
2017-08-26,4355.98,4369.78,4232.43,4333.38,,,,,
2017-08-27,4333.38,4393.3,4290.32,4337.68,,,,,
2017-08-28,4337.68,4399.72,4169.01,4379.99,,,,,
2017-08-29,4379.99,4649.78,4336.26,4578.82,,,,,
2017-08-30,4578.82,4642.22,4479,4573.2,,,,,
2017-08-31,4573.2,4765.21,4566.66,4734.26,,,,,
2017-09-01,4734.26,4935,4671.09,4921.7,,,,,
2017-09-02,4921.7,4979.9,4488.5,4599.9,,,,,
2017-09-03,4599.9,4700,4385,4606.26,,,,,
2017-09-04,4606.26,4613.97,4058.5,4277,,,,,
2017-09-05,4277,4474.88,4001.93,4396.52,,,,,
2017-09-06,4396.52,4649.23,4356.42,4605.8,,,,,
2017-09-07,4605.8,4674.34,4475,4615,,,,,
2017-09-08,4615,4679.97,4125.99,4312,,,,,
2017-09-09,4312,4379.78,4164,4308.72,,,,,
2017-09-10,4308.72,4322.44,4010,4226.22,,,,,
2017-09-11,4226.22,4353.49,4092.4,4207.31,,,,,
2017-09-12,4207.31,4377.65,4080,4172.56,,,,,
2017-09-13,4172.56,4179.14,3720.01,3865.34,,,,,
2017-09-14,3865.34,3921.74,3210,3227.79,,,,,
2017-09-15,3227.79,3820,2977,3700.01,,,,,
2017-09-16,3700.01,3872.9,3500,3678.93,,,,,
2017-09-17,3678.93,3772.52,3463,3662.99,,,,,
2017-09-18,3662.99,4122.7,3659.42,4101.6,,,,,
2017-09-19,4101.6,4119.7,3848.35,3888.8,,,,,
2017-09-20,3888.8,4050,3820.56,3874.46,,,,,
2017-09-21,3874.46,3914,3573,3617.05,,,,,
2017-09-22,3617.05,3761.84,3514,3612.18,,,,,
2017-09-23,3612.18,3810.25,3552,3779.17,,,,,
2017-09-24,3779.17,3783.25,3615,3664.22,,,,,
2017-09-25,3664.22,3968.59,3658.39,3918,,,,,
2017-09-26,3918,3970,3850.61,3888.03,,,,,
2017-09-27,3888.03,4226.73,3870,4199.29,,,,,
2017-09-28,4199.29,4270.01,4123.5,4184.84,,,,,
2017-09-29,4184.84,4227.62,4022.02,4164.82,,,,,
2017-09-30,4164.82,4349,4154.28,4326.09,,,,,
2017-10-01,4326.09,4377.22,4216,4377.22,,,,,
2017-10-02,4377.22,4453,4352,4391.48,,,,,
2017-10-03,4391.48,4425,4218,4315.83,,,,,
2017-10-04,4315.83,4343,4170.07,4219.53,,,,,
2017-10-05,4219.53,4358.97,4137.96,4301.09,,,,,
2017-10-06,4301.09,4425,4278.4,4362.95,,,,,
2017-10-07,4362.95,4463,4312.82,4423.3,,,,,
2017-10-08,4423.3,4612,4404.5,4597.98,,,,,
2017-10-09,4597.98,4865,4541,4764.7,,,,,
2017-10-10,4764.7,4909.97,4700,4749.29,,,,,
2017-10-11,4749.29,4869.78,4700,4822.01,,,,,
2017-10-12,4822.01,5445,4793.66,5445,,,,,
2017-10-13,5445,5846.43,5380,5653.6,,,,,
2017-10-14,5653.6,5817.34,5558.26,5801.29,,,,,
2017-10-15,5801.29,5830,5415,5679.7,,,,,
2017-10-16,5679.7,5807.11,5548,5745.72,,,,,
2017-10-17,5745.72,5776.31,5506.78,5597.31,,,,,
2017-10-18,5597.31,5617.75,5101.36,5582.05,,,,,
2017-10-19,5582.05,5735.14,5512.06,5698.69,,,,,
2017-10-20,5698.69,6074,5589.8,5977.29,,,,,
2017-10-21,5977.29,6180,5871,6013.46,,,,,
2017-10-22,6013.46,6071.07,5700,5969,,,,,
2017-10-23,5969,6045.34,5617.75,5871.17,,,,,
2017-10-24,5871.17,5871.17,5453.01,5523.4,,,,,
2017-10-25,5523.4,5748,5366,5735.88,,,,,
2017-10-26,5735.88,5988,5683,5890,,,,,
2017-10-27,5890,5994.06,5674.06,5771.89,,,,,
2017-10-28,5771.89,5875.66,5646.18,5730.69,,,,,
2017-10-29,5730.69,6316.85,5683,6137.37,,,,,
2017-10-30,6137.37,6229.77,6024.03,6119.99,,,,,
2017-10-31,6119.99,6449.78,6072.81,6434.21,,,,,
2017-11-01,6434.21,6756.36,6340.01,6741.59,,,,,
2017-11-02,6741.59,7354.1,6700,7030,,,,,
2017-11-03,7030,7500,6925.22,7146.82,,,,,
2017-11-04,7146.82,7569.9,6994,7388.83,,,,,
2017-11-05,7388.83,7590,7275.16,7372.72,,,,,
2017-11-06,7372.72,7421.39,6922.07,6967.68,,,,,
2017-11-07,6967.68,7244.69,6945,7130.28,,,,,
2017-11-08,7130.28,7888,7080.01,7450.32,,,,,
2017-11-09,7450.32,7490,7061.2,7148,,,,,
2017-11-10,7148,7343.18,6429.44,6588.18,,,,,
2017-11-11,6588.18,6820,6218,6355.13,,,,,
2017-11-12,6355.13,6488.88,5555.55,5870.37,,,,,
2017-11-13,5870.37,6775.75,5846,6525.17,,,,,
2017-11-14,6525.17,6750,6466.88,6609,,,,,
2017-11-15,6609,7350,6609,7294,,,,,
2017-11-16,7294,7976.79,7120.85,7846.96,,,,,
2017-11-17,7846.96,7997,7528.5,7674.99,,,,,
2017-11-18,7674.99,7858,7431.54,7771.03,,,,,
2017-11-19,7771.03,8087.35,7675,8016.58,,,,,
2017-11-20,8016.58,8269.99,7900,8226.17,,,,,
2017-11-21,8226.17,8354.46,7770,8095.23,,,,,
2017-11-22,8095.23,8310.89,8045.76,8214.69,,,,,
2017-11-23,8214.69,8279.76,7980,7989,,,,,
2017-11-24,7989,8340,7876,8199.19,,,,,
2017-11-25,8199.19,8737,8114.78,8717.99,,,,,
2017-11-26,8717.99,9366.6,8538.2,9271.06,,,,,
2017-11-27,9271.06,9721.7,9267,9708.07,,,,,
2017-11-28,9708.07,9968,9582.25,9868.82,,,,,
2017-11-29,9868.82,11395,9289,9824.68,,,,,
2017-11-30,9824.68,10618.29,9000,9947.67,,,,,
2017-12-01,9947.67,10949.89,9370.11,10840.45,,,,,
2017-12-02,10840.45,11200,10637.69,10872,,,,,
2017-12-03,10872,11800.01,10513.16,11250,,,,,
2017-12-04,11250,11613.07,10850,11613.07,,,,,
2017-12-05,11613.07,11850,11384.25,11677,,,,,
2017-12-06,11677,13700,11659.8,13623.5,,,,,
2017-12-07,13623.5,16615.62,13085.9,16599.99,,,,,
2017-12-08,16599.99,16666.66,13482.42,15800,,,,,
2017-12-09,15800,15998.5,12701.05,14607.49,,,,,
2017-12-10,14607.49,15385,13011,14691,,,,,
2017-12-11,14691,17270,14677.19,16470,,,,,
2017-12-12,16470,17428.42,15967.29,16650.01,,,,,
2017-12-13,16650.01,17107.03,15497.69,16250,,,,,
2017-12-14,16250,16830.45,15852.69,16404.99,,,,,
2017-12-15,16404.99,17934,16337.19,17471.5,,,,,
2017-12-16,17471.5,19377,17269.99,19187.78,,,,,
2017-12-17,19187.78,19666,18465,18953,,,,,
2017-12-18,18953,19220,17835.2,18940.57,,,,,
2017-12-19,18940.57,19160.79,16831.26,17700,,,,,
2017-12-20,17700,17950,15343.04,16466.98,,,,,
2017-12-21,16466.98,17281.17,15005,15600.01,,,,,
2017-12-22,15600.01,15795.61,11159.93,14009.79,,,,,
2017-12-23,14009.79,15756.22,13496.48,14619,,,,,
2017-12-24,14619,14619.1,12488,14157.87,,,,,
2017-12-25,14157.87,14650,13210,13911.28,,,,,
2017-12-26,13911.28,16147.87,13746.95,15764.44,,,,,
2017-12-27,15764.44,16480.52,14484,15364.93,,,,,
2017-12-28,15364.93,15474.19,13500,14470.07,,,,,
2017-12-29,14470.07,15111,13998,14340,,,,,
2017-12-30,14340,14463.28,12050,12640,,,,,
2017-12-31,12640,14296.06,12491.21,13880,,,,,
2018-01-01,13880,13941.75,12801.38,13443.41,,,,,
2018-01-02,13443.41,15257.53,12910.58,14678.94,,,,,
2018-01-03,14678.94,15500,14546.28,15155.62,,,,,
2018-01-04,15155.62,15430.27,14192.37,15143.67,,,,,
2018-01-05,15143.67,17200,14810,16928,,,,,
2018-01-06,16928,17234.99,16220,17149.67,,,,,
2018-01-07,17149.67,17149.97,15707.16,16124.02,,,,,
2018-01-08,16124.02,16300,13900,14999.99,,,,,
2018-01-09,14999.99,15367.18,14123.97,14403.51,,,,,
2018-01-10,14403.51,14900,13412,14890.02,,,,,
2018-01-11,14890.02,14973.07,12800,13243.83,,,,,
2018-01-12,13243.83,14152.19,12807.27,13781.41,,,,,
2018-01-13,13781.41,14619.1,13781.41,14197.78,,,,,
2018-01-14,14197.78,14365.81,13072.22,13647.99,,,,,
2018-01-15,13647.99,14394.36,13429.25,13607.04,,,,,
2018-01-16,13607.04,13607.04,10162,11386.34,,,,,
2018-01-17,11386.34,11794.07,9222,11191.35,,,,,
2018-01-18,11191.35,12146,10693,11247.57,,,,,
2018-01-19,11247.57,12050.39,11025.18,11552,,,,,
2018-01-20,11552,13052.12,11515.94,12775.99,,,,,
2018-01-21,12775.99,12791.88,11100,11558.87,,,,,
2018-01-22,11558.87,11910.78,10028.41,10808.99,,,,,
2018-01-23,10808.99,11409.87,9927.54,10851.82,,,,,
2018-01-24,10851.82,11500,10488.13,11400.96,,,,,
2018-01-25,11400.96,11741.82,10868.57,11155.54,,,,,
2018-01-26,11155.54,11635,10263.32,11092.95,,,,,
2018-01-27,11092.95,11630.47,10815.84,11446.54,,,,,
2018-01-28,11446.54,11989.15,11360.52,11685.58,,,,,
